Abbr,Date,Location,Common_Name,Latitude,Longitude,Magnitude,SingleFamily,MultiFamily,TotalResidentialLost,TotalBuildingsDamaged
1989_LP,"Oct. 17, 1989",CA_LomaPrieta_SantaCruz_SanFrancisco_Oakland_Berkeley_SiliconValley,89 Bay_Bridge_Quake,37.04,-121.877,6.9,"4,500 ","7,100 ","20,000","50,000"
1994_NR,"Jan. 17, 1994",CA_Northridge_LosAngeles_SanFernandoValley_Ventura_Orange,94 Northridge,34.207,-118.535,6.7,"7,000 ","49,000 ","70,000","388,000"
