Abbr,Date,Location,Common_Name,Latitude,Longitude,Magnitude,AreaPopulation,Injuries,Homeless,Fatalities,,
1906_SF,"Apr. 18, 1906",CA_San Francisco_SantaRosa_SanJose,1906_Quake,37.75,-122.55,7.9,"500,000","225,000","250,000","3,000",,
1989_LP,"Oct. 17, 1989",CA_LomaPrieta_SantaCruz_SanFrancisco_Oakland_Berkeley_SiliconValley,89 Bay_Bridge_Quake,37.04,-121.877,6.9,"9,500,000",3757,12000,63,,
1994_NR,"Jan. 17, 1994",CA_Northridge_LosAngeles_SanFernandoValley_Ventura_Orange,94 Northridge,34.207,-118.535,6.7,"15,000,000",9000,125000,60,,
